"User_Scenario","Legal_Category"
"There's a big, open manhole right near the school gate, it's been like that for weeks, a small child could easily fall in","Public_Nuisance"
"Stray dogs keep fighting and barking all night near my building, and sometimes they chase my kids when they go to play","Public_Nuisance"
"That vacant plot behind our house has stagnant water, full of mosquitoes, my family is worried about dengue","Public_Nuisance"
"Every night, some drunk men sit near the public tap, making loud noise and bad words, my wife feels unsafe going there","Public_Nuisance"
"The textile factory behind our colony, their machines run 24 hours, the constant humming sound gives me headache","Public_Nuisance"
"For every small festival, they block the whole main road with pandals and stage, traffic gets stuck for hours, people miss work","Public_Nuisance"
"These guys keep their cows and buffaloes on the street, all the dung and urine is just lying there, full of flies and smell","Public_Nuisance"
"That roadside food stall near the bus stand uses such dirty water, people who eat there are sure to get sick","Public_Nuisance"
"Our neighbour's generator runs for hours during power cut, makes such a loud rattling sound, I can't even hear my TV","Public_Nuisance"
"After the building repairs, they left all the broken bricks and cement on the footpath, it's so difficult for elderly people to cross","Public_Nuisance"
"That under-construction apartment building has no boundary wall, kids from the slum sometimes go in there to play, very dangerous, anything can fall on them","Public_Nuisance"
"Yaar, I was just walking near the station, and one guy on a bike just snatched my phone right out of my hand! My new OnePlus, gone","Theft"
"Bhaiya, my wallet was in my back pocket, I swear! I was in the crowded market near Lajpat Nagar, must have been pickpocketed. All my cash and ID cards gone","Theft"
"Meri gold chain! I was coming back from temple, suddenly two boys on scooter pulled it so hard, my neck still paining. They just zoomed off","Theft"
"We went for a wedding for two days, came back, and the front door was broken. All the jewellery from the locker, and some cash, everything missing. My mother is crying","Theft"
"My new Hero Honda Splendor, I parked it outside my shop just for half an hour. Came back, it's not there. Someone stole it, I don't know what to do now","Theft"
"Laptop bag, I kept it on the seat for a minute in the auto, just to pay the driver. When I looked inside, it's empty. My new work laptop, all my important data!","Theft"
"My gas cylinder from outside the house. Every day it's there, but today morning it's just gone. How will I cook food now?","Theft"
"My old cycle, I left it unlocked for a minute near the chai shop. Just came back, poof, gone. It was my only way to commute","Theft"
"Last night, someone broke into our farm and took all the harvested onions. So much hard work, all gone waste. How will we recover the loss?","Theft"
"My purse, I kept it on the table in the office for a second, just went to the washroom. Came back, 2000 rupees from inside it are missing. I suspect that new cleaner boy","Theft"
"My clothes drying on the line, my new kurta set for Diwali. Someone just came and took it in the night. This is not fair, yaar","Theft"
"Meri watch, the one my dad gifted me. I put it on the side table in the hostel room and went for a bath. Came back, it's not there. Roommate says he didn't see anything","Theft"
"My son's school bag. He kept it outside the classroom for a minute, just to go to the washroom. When he came back, the bag, his books, everything gone. He is so upset","Theft"
"My iPhone charger and adapter, original one. I lent it to my colleague yesterday, and today she says she can't find it. I know she stole it, or someone from her desk did","Theft"
"Our community water motor. It was installed just last month. Yesterday morning, we found it completely dismantled and taken away from the well. Now no water for anyone","Theft"
"My delivery package from Amazon. It was showing 'delivered' yesterday, but I never received it. Checked with neighbours, no one saw it. Someone must have picked it up from my doorstep","Theft"
"My brand new shoes! I kept them outside the temple while I went inside for darshan. Came out, and they were gone. How can people steal from a temple, yaar?","Theft"
"My helper, the one I trusted so much, she just ran away with my small diamond earrings. I gave her keys to clean the bedroom. Now she's untraceable","Theft"
"Construction materials from our site. We ordered cement bags and steel rods. Overnight, half of it disappeared. The guard was sleeping, I think","Theft"
"My electricity meter. Someone climbed up and took it right off the wall last night. Now we have no power. What kind of people do this?","Theft"
"Traffic police stopped me even though I was not overspeeding at all, took my bike keys and refused to return them unless I paid cash on the spot","Traffic_Harassment"
"The cop snatched my vehicle keys without giving any reason, just said pay up or walk home, it was clearly a bribe demand","Traffic_Harassment"
"I was riding perfectly fine, helmet on, all papers ready, but the traffic officer still seized my keys and asked for money to let me go","Traffic_Harassment"
"Police stopped my scooter for no valid reason, confiscated the keys and said come to the station if you want them back, it felt like harassment","Traffic_Harassment"
"The traffic hawaldar took away my bike keys when I was not doing anything wrong, he just wanted a bribe, this is police misconduct","Traffic_Harassment"
"I was not breaking any traffic rule but a cop stopped me, grabbed my keys and threatened to tow the vehicle unless I paid him directly","Traffic_Harassment"
"Officer stopped me falsely claiming I jumped a signal, took my keys on the spot, would not give a proper challan, just demanded cash","Traffic_Harassment"
"Traffic police illegally detained my vehicle keys even after I showed all valid documents, they refused to issue a proper receipt","Traffic_Harassment"
"A traffic cop stopped me without reason at night, took my bike keys and said pay 500 rupees or your bike stays here, this is extortion","Traffic_Harassment"
"The constable seized my two-wheeler keys for allegedly not wearing a helmet but I had my helmet on, this was clearly wrongful stoppage","Traffic_Harassment"
"Police took my car keys at a checkpost and would not give them back, said there is a fine but would not show me any official challan","Traffic_Harassment"
"Traffic inspector stopped my auto and took the keys, saying papers are wrong, but everything was in order, I think he wanted money to let me go","Traffic_Harassment"
"An officer stopped me on the highway, took my vehicle keys without any explanation and started demanding cash, no challan was issued at all","Traffic_Harassment"
"I was not over speeding or breaking any rule, still a traffic policeman stopped me forcefully and took away my bike keys, refused to give back","Traffic_Harassment"
"The traffic cop said my insurance is expired, it was not, took my keys anyway and told me to go to the thana if I had a problem, total harassment","Traffic_Harassment"
